🚀 Frontend Amazon Q Style server running on port 3005
📱 Access: http://localhost:3005
🔗 Public: http://bedrock-playground.danielingram.shop
🎯 Backend proxy: localhost:8001
172.31.91.12 - - [30/Jul/2025 03:50:48] code 404, message File not found
172.31.91.12 - - [30/Jul/2025 03:50:48] "GET /alive.php HTTP/1.1" 404 -
172.31.91.12 - - [30/Jul/2025 03:50:51] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:50:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:50:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2025 03:51:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2025 03:51:31] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:51:31] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:51:31] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:51:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:51:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:52:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:52:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:52:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:52:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:53:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:53:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 03:53:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:53:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 03:54:10] code 404, message Not Found
172.31.27.253 - - [30/Jul/2025 03:54:10] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 404 -
172.31.27.253 - - [30/Jul/2025 03:54:10] code 404, message File not found
172.31.27.253 - - [30/Jul/2025 03:54:10] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 -
172.31.91.12 - - [30/Jul/2025 03:54:12] code 404, message Not Found
